ts,o,h,l,c,v,funding,borrow,liq,depeg,oi
1769165100,89127.96,89160.74,89020.10,89046.49,104.2669,0.00001722,0.00005000,0.5000,0.000000,1000000
1769166000,89046.49,89244.86,89000.00,89222.89,172.8800,0.00001722,0.00005000,0.5000,0.000000,1000000
1769166900,89222.88,89275.96,89204.84,89219.99,129.4152,0.00001722,0.00005000,0.5000,0.000000,1000000
1769167800,89219.99,89355.51,89219.99,89249.20,117.6791,0.00001722,0.00005000,0.5000,0.000000,1000000
1769168700,89249.20,89274.69,89164.97,89202.48,61.6861,0.00001722,0.00005000,0.5000,0.000000,1000000
1769169600,89202.47,89248.60,89160.01,89160.01,50.9392,0.00001722,0.00005000,0.5000,0.000000,1000000
1769170500,89160.01,89182.98,89125.18,89163.52,48.0480,0.00001722,0.00005000,0.5000,0.000000,1000000
1769171400,89163.51,89241.27,89099.20,89241.26,45.3396,0.00001722,0.00005000,0.5000,0.000000,1000000
1769172300,89241.27,89383.09,89241.26,89267.83,75.3923,0.00001722,0.00005000,0.5000,0.000000,1000000
1769173200,89267.83,89419.88,89237.65,89407.15,105.1022,0.00001722,0.00005000,0.5000,0.000000,1000000
1769174100,89407.15,89426.92,89256.59,89257.43,95.7890,0.00001722,0.00005000,0.5000,0.000000,1000000
1769175000,89257.43,89355.21,89247.44,89355.20,45.7799,0.00001722,0.00005000,0.5000,0.000000,1000000
1769175900,89355.21,89450.18,89310.32,89350.81,51.0921,0.00001722,0.00005000,0.5000,0.000000,1000000
1769176800,89350.80,89472.55,89254.23,89459.29,86.1734,0.00001722,0.00005000,0.5000,0.000000,1000000
1769177700,89459.29,89702.85,89430.21,89685.93,241.3027,0.00001722,0.00005000,0.5000,0.000000,1000000
1769178600,89685.92,89733.71,88663.65,88965.48,633.7460,0.00001722,0.00005000,0.5000,0.000000,1000000
1769179500,88965.49,89133.38,88684.08,89017.85,279.5446,0.00001722,0.00005000,0.5000,0.000000,1000000
1769180400,89017.85,89189.90,88763.76,88821.92,224.6815,0.00001722,0.00005000,0.5000,0.000000,1000000
1769181300,88821.91,89279.02,88578.36,88979.61,296.1163,0.00001722,0.00005000,0.5000,0.000000,1000000
1769182200,88979.61,89284.47,88933.79,89259.98,182.2738,0.00001722,0.00005000,0.5000,0.000000,1000000
1769183100,89259.97,89865.53,89259.95,89761.61,375.6126,0.00001722,0.00005000,0.5000,0.000000,1000000
1769184000,89761.61,89969.16,89637.89,89752.27,322.6638,0.00001722,0.00005000,0.5000,0.000000,1000000
1769184900,89752.27,89762.18,89518.00,89575.45,168.3460,0.00001722,0.00005000,0.5000,0.000000,1000000
1769185800,89575.46,90422.00,89489.00,90269.66,422.7551,0.00001722,0.00005000,0.5000,0.000000,1000000
1769186700,90269.65,90490.06,90122.76,90124.85,352.9601,0.00001722,0.00005000,0.5000,0.000000,1000000
1769187600,90124.86,90200.00,89978.40,90199.99,154.2487,0.00001722,0.00005000,0.5000,0.000000,1000000
1769188500,90199.99,90981.99,90199.99,90981.99,402.4110,0.00001722,0.00005000,0.5000,0.000000,1000000
1769189400,90981.98,91224.99,90769.23,90831.33,466.3357,0.00001722,0.00005000,0.5000,0.000000,1000000
1769190300,90831.33,91054.50,90565.60,90600.00,323.6029,0.00001722,0.00005000,0.5000,0.000000,1000000
1769191200,90600.00,91039.75,90449.42,90743.61,272.7037,0.00001722,0.00005000,0.5000,0.000000,1000000
1769192100,90743.62,90958.42,90640.36,90871.84,125.8748,0.00001722,0.00005000,0.5000,0.000000,1000000
1769193000,90871.83,91025.00,90718.89,90738.00,179.2022,0.00001722,0.00005000,0.5000,0.000000,1000000
1769193900,90737.99,90738.00,90505.86,90530.45,120.6734,0.00001722,0.00005000,0.5000,0.000000,1000000
1769194800,90530.44,90534.59,90224.94,90278.00,242.8782,0.00001722,0.00005000,0.5000,0.000000,1000000
1769195700,90278.00,90286.01,89756.41,89845.83,520.9739,0.00001722,0.00005000,0.5000,0.000000,1000000
1769196600,89845.82,89886.45,89612.01,89879.79,243.4624,0.00001722,0.00005000,0.5000,0.000000,1000000
1769197500,89879.80,90020.00,89728.92,89982.79,111.6840,0.00001722,0.00005000,0.5000,0.000000,1000000
1769198400,89982.79,90156.06,89856.80,90119.01,147.4159,0.00001722,0.00005000,0.5000,0.000000,1000000
1769199300,90119.02,90135.20,89812.70,89814.37,102.4454,0.00001722,0.00005000,0.5000,0.000000,1000000
